,Total,65,63,68,66,67,64,10002,10004,10005,10007,10008,10009,10010,10013,10014,10015,10016,10017,10018,10020,09020,09007
100,9.29,13.11,9.04,8.95,7.04,5.63,6.96,9.51,11.3,11.79,9.07,12.33,10.46,7.97,6.96,11.38,11.69,9.14,8.33,13.72,9.93,14.59,10.88
101,9.48,11.95,10.12,9.23,7.96,6.07,7.79,9.15,12.66,12.12,8.98,12.62,9.31,8.95,6.58,10.12,10,9.41,9.16,13.24,9.66,17.83,12.18
102,10.08,12.3,10.35,9.74,8.75,6.88,8.33,9.96,11.98,11.51,11.18,13.09,11.66,9.19,7.43,11.03,11.79,10.53,9.97,11.22,9.38,19.91,13
103,10.73,12.17,10.17,9.8,9.94,10.53,9.58,9.87,12.18,11.1,12.03,13.48,12.88,10.28,8.62,11.58,12.99,10.98,8.47,11.06,9.08,17.78,10.15
104,10.76,11.36,11.06,9.61,9.96,10.7,9.33,9.89,11.15,10.86,12.34,13.14,13.58,10,9.93,12.22,13.59,12.59,7.32,10.87,10.75,17.46,12.24
105,10.85,11,10.87,9.96,10.52,9.63,9.2,10.33,11.98,11.1,12.86,13.36,13.13,11.8,10.48,12.87,13.88,11.11,8.68,10.62,11.04,19.14,19.42
